date,steps,distance,runDistance,calories
2023-09-30,1983,1265,75,43
2023-10-01,3002,1898,273,71
2023-10-02,5752,3785,394,126
2023-10-03,3913,2481,444,92
2023-10-04,8539,5784,301,185
2023-10-05,2613,1650,340,57
2023-10-06,4502,2897,265,101
2023-10-07,3357,2090,308,75
2023-10-08,2243,1470,108,51
2023-10-09,231,135,17,7
2023-10-10,4129,2683,533,91
2023-10-11,5278,3499,320,117
2023-10-12,2804,1829,471,60
2023-10-13,6183,4226,195,137
2023-10-14,2752,1787,206,66
2023-10-15,2460,1586,133,53
2023-11-05,0,0,0,0
2023-11-15,4455,2881,622,99
2023-11-16,6702,4335,1389,153
2023-11-17,9949,6648,2296,225
2023-11-18,4148,2649,623,92
2023-11-19,5052,3315,273,109
2023-11-20,3387,2140,501,86
2023-11-21,4112,2539,317,88
2023-11-22,4906,3043,684,113
2023-11-23,2040,1195,361,56
2023-11-24,2401,1526,200,54
2023-11-25,1669,1052,506,43
2023-11-26,496,291,68,14
2023-11-27,4982,3232,358,107
2023-11-28,4735,3056,738,108
2023-11-29,4466,3000,222,99
2023-11-30,5027,3251,1035,114
2023-12-01,5474,3562,998,123
