Entity,Code,Year,Mismanaged waste emitted to the ocean (metric tons year-1),Share of global mismanaged plastic waste,Share of global plastics emitted to ocean
Russia,RUS,2019,542,0.588258434,0.055336727
Saint Kitts and Nevis,KNA,2019,1,0.000157025,0.000102097
Saint Lucia,LCA,2019,449,0.00692204,0.04584168
Saint Vincent and the Grenadines,VCT,2019,81,0.001999233,0.00826988
Samoa,WSM,2019,0,0.002813495,0.0
Sao Tome and Principe,STP,2019,77,0.003349322,0.007861491
Saudi Arabia,SAU,2019,3,0.011616594,0.000306292
Senegal,SEN,2019,169,0.106291189,0.017254441
Seychelles,SYC,2019,0,5.34e-05,0.0
Sierra Leone,SLE,2019,3624,0.147698778,0.370000551
Singapore,SGP,2019,164,0.003995228,0.016743954
Slovakia,SVK,2019,0,0.002782738,0.0
Slovenia,SVN,2019,11,0.001366277,0.00112307
Solomon Islands,SLB,2019,100,0.005698218,0.010209728
Somalia,SOM,2019,2,6.8e-05,0.000204195
South Africa,ZAF,2019,4266,1.146874803,0.435547007
South Korea,KOR,2019,387,0.019678277,0.039511648
Spain,ESP,2019,235,0.032942822,0.023992861
Sri Lanka,LKA,2019,9654,0.251670209,0.985647164
Sudan,SDN,2019,106,1.265303843,0.010822312
Suriname,SUR,2019,1677,0.037124213,0.171217143
Sweden,SWE,2019,36,0.006888045,0.003675502
Syria,SYR,2019,44,0.000812644,0.00449228
Taiwan,TWN,2019,531,0.012144327,0.054213657
Tanzania,TZA,2019,5785,2.778528727,0.590632779
Thailand,THA,2019,22806,2.204319961,2.328430622
Togo,TGO,2019,436,0.197143768,0.044514415
Tonga,TON,2019,0,0.001078129,0.0
Trinidad and Tobago,TTO,2019,3557,0.118398283,0.363160033
Tunisia,TUN,2019,688,0.468707557,0.07024293
Turkey,TUR,2019,14329,2.680930558,1.462951959
Ukraine,UKR,2019,859,0.637450889,0.087701566
United Arab Emirates,ARE,2019,14,0.008312599,0.001429362
United Kingdom,GBR,2019,703,0.048425139,0.07177439
United States,USA,2019,2431,0.432981997,0.248198493
Uruguay,URY,2019,998,0.149934357,0.101893088
Venezuela,VEN,2019,5988,1.086920486,0.611358527
Vietnam,VNM,2019,28221,1.801397682,2.881287406
Western Sahara,ESH,2019,38,0.006659792,0.003879697
Yemen,YEM,2019,252,0.472267324,0.025728515
Zimbabwe,ZWE,2019,0,0.849657702,0.0
